key,de,en,nl,fr
Bycco is taking overview photos/videos of the championships and can publish these photos/videos on its website and on social media,Bycco nimmt Gesamtaufnahmen der Meisterschaften und kann diese Fotos / Videos auf seiner Website und in sozialen Medien veröffentlichen.,Bycco is taking overview photos/videos of the championships and can publish these photos/videos on its website and on social media,Bycco neemt overzichtsfoto's en -video's tijdens het kampioenschap en publiceert deze op de website en op sociale media.,Bycco prend des photos / vidéos d’ensemble lors des championnats et peut publier \n ces photos / vidéos sur le site web et sur les médias sociaux
Bycco will only use this data in order to organize these championships.,Bycco wird diese Daten nur zur Organisation dieser Meisterschaften verwenden.,Bycco will only use this data in order to organize these championships.,Bycco zal de data enkel gebruiken binnen het kader van dit kampioenschap.,Bycco n’utilisera ces données que pour l’organisation du championnat.
Bycco will use all personal data like mobile numbers and email addresses for internal purposes only.,Bycco verwendet alle persönlichen Daten wie Handynummern und E-Mail Adressen nur für interne Zwecke.,Bycco will use all personal data like mobile numbers and email addresses for internal purposes only.,Bycco zal al jouw persoonlijke data zoals GSM en E-mail enkel voor intern gebruik aanwenden.,Bycco utilise les données privées (numéro GSM
Calendar,Agenda,Calendar,Agenda,Calendrier
Can become Belgian champion,Kann belgischer Meister werden,Can become Belgian champion,Kan Belgisch kampioen worden,Peut devenir champion belge
Category,Kategorie,Category,Categorie,Catégorie
Catering,Catering,Catering,Catering,Restauration
Chess title,Schach-Titel,Chess title,Schaaktitel,Titre d’échecs
Club id,Club-ID,Club id,Club is,ID cercle
Confirm,Bestätigen,Confirm,Bevestigen,Confirmer
Confirmation,Bestätigung,Confirmation,Bevestiging,Confirmation
Confirmation details,Bestätigungsdetails,Confirmation details,Bevestigingsdetails,Détails de la confirmation
Confirmation Subscription,Bestätigung Einschreibung,Confirmation Subscription,Bevesting inschrijving,Confirmation de l’inscription
Contact,Kontakt,Contact,Contact,Contact
Continue,Weiter,Continue,Verder,Continuer
Continue reading,Weiter lesen,Continue reading,Lees verder,En savoir plus
Covid19 rules,Covid19 Regeln,Regels Covid19,Covid19 rules,Règles Covid19
Date,Datum,Date,Datum,Date
Details,Details,Details,Details,Détails
Details player,Spieler Details,Details player,Spelerdetails,Détails du joueur
Email address,E-Mail-Addresse,Email address,E-mailadres,Adresse e-mail
Email parent,E-Mail-Adresse Elternteil,Email respresentative,E-mail ouder,Adresse e-mail du parent
Email player,E-Mail-Adresse Spieler,Email parent,E-mail speler,Adresse e-mail du joueur
Email representative,E-Mail-Adresse Vertreter,Email representative,E-mail verantwoordelijke,Adresse e-mail du responsable
Enrollment,Anmeldung,Enrollment,Inschrijving,Enregistrement
Error,Fehler,Error,Fout,Erreur
Federation,Föderation,Federation,Federation,Féderation
Female,Weiblich,Female,Vrouwelijk,Féminin
FIDE id,FIDE-ID,FIDE id,FIDE id,ID FIDE
FIDE Nationality,FIDE Staatsangehörigkeit,FIDE Nationality,FIDE Nationaliteit,Nationalité FIDE
FIDE rating,FIDE Elo,FIDE rating,FIDE rating,Rating FIDE
Files,Dateien,Files,Bestanden,Fichers
Filter categories,Filter pro Kategorie,Filter categories,Filter categorieën,Trier par catégorie
First name,Vorname,first name,Voornaam,Prénom
For the FIDE you are a Belgian. This means you can win the Belgian title and you can participate at the European and World Championships as part of the Belgian team.,"Für die FIDE sind Sie ein Belgier Das bedeutet, dass Sie den belgischen Titel gewinnen können und Sie können an der EM / WM teilnehmen als Spieler der belgischen Mannschaft.",For the FIDE you are a Belgian. This means you can win the Belgian title and you can participate at the European and World Championships as part of the Belgian team.,Voor de FIDE ben je een Belg. Dit betekent dat je Belgisch kampioen kan worden en dat je je aan het EK / WK kan deelnemen in het Belgische team.,Pour la FIDE
For the FIDE you are not a Belgian. This means you cannot win the Belgian title and you cannot participate to the European and World Championships as part of the Belgian team.,"Für die FIDE sind Sie kein Belgier. Das bedeutet, dass Sie nicht den belgischen Titel gewinnen können und Sie können nicht an der EM / WM teilnehmen als Teilnehmer der belgischen Mannschaft.",For the FIDE you are not a Belgian. This means you cannot win the Belgian title and you cannot participate to the European and World Championships as part of the Belgian team.,Voor de FIDE ben je geen Belg. Dit betekent dat je geen Belgisch kampioen kan worden en dat je niet aan het EK / WK kan deelnemen in het Belgische team.,Pour la FIDE
Full name,Vollständiger Name,Full name,Volledige naam,Nom complet
Full name parent,Vollständiger Name Elternteil,Full name parent,Volledige naam ouder,Nom complet du parent
Full name representative,Vollständiger Name Vertreter,Full name respresentative,Volledige naam verantwoordelijke,Nom complet du responsable
Gender,Geschlecht,Gender,Geslacht,Sexe
Girls,Mädchen,Girls,Meisjes,Filles
GoalBycco,"Bycco organisiert das belgische Jugendmeisterschaftschach als Gesamterlebnis, bei dem Qualität an erster Stelle steht",Bycco organizes the Belgian youth championships chess as a total experience where quality comes first,Bycco organiseert de Belgische jeugdkampioenschappen schaken als een totaalbeleving waar kwaliteit voorop staat.,Bycco organise les championnats de Belgique d' échecs de la jeunesse comme une expérience totale où la qualité passe avant tout
GSM parent,Handynummer Elternteil,Mobile phone parent,GSM ouder,Numéro GSM du parent
GSM player,Handynummer Spieler,Mobile phone player,GSM speler,Numéro GSM du joueur
GSM representative,Handynummer Vertreter,Mobile phone representative,GSM nummer verantwoordelijke,Numéro GSM du responsable
Home,Startseite,Home,Home,Accueil
I agree,Ich stimme zu.,I agree.,Ik ben het eens.,Je suis d’accord.
ID Club,Club-ID,ID Club,Clubnummer,ID cercle
ID number,ID-Nummer,ID number,Stamnummer,Matricule
"If Bycco is taking a close-up photos/video of a player, Bycco will explicitly ask permission to publish.",Wenn Bycco eine Nahaufnahme eines Spielers macht wird Bycco ausdrücklich um Erlaubnis zur Veröffentlichung bitten.,"If Bycco is taking a close-up photos/video of a player, Bycco will explicitly ask permission to publish.","Indien een close-up van een speler genomen wordt, zal Bycco expliciete toestemming vragen om te publiceren.",Si Bycco prend un photo / vidéo de près d’un joueur
Important information,Wichtige Informationen,Important information,Belangrijke informatie,Renseignements importants
"In case you do not have an id number of the RBCF, please contact your chess club, which can provide it.","Falls Sie keine ID-Nummer beim KSB haben, wenden sie sich an einen Verantwortlichen Ihres Vereins um diese anzufordern.","In case you do not have an id number of the RBCF, please contact your chess club, which can provide it.","In het geval dat je nog geen stamnummer van de KBSB hebt, dien je contact op te nemen met jouw club die het nodige zal doen.","Dans le cas où vous n’avez pas de matricule de la FRBE, veuillez prendre contact avec votre cercle qui fera le nécessaire"
Info about adult representative at site,Info über erwachsene Vertreter vor Ort,Info about adult representative at site,Info over de afgevaardigde ter plaatse,Information sur le responsable sur place
Info about parent,Info über Eltern,Info about parent,Info over ouder,Information sur le parent
Info about presence on site,Info über Vertreter vor Ort,Info about presence on site,Info over aanwezigheid ter plaatse,Information sur la présence sur place
Internal Regulations,Hausinterne Satzung,Internal Regulations,Huishoudelijk Reglement,Réglement Ordre Intérieur
Invalid country code,Ungültiger Ländercode,Invalid country code,Ongeldige landcode,Code de pays invalide
Invoice,Rechnung,Invoice,Factuur,Facture
Invoice details,Rechnungsdetails,Invoice details,Factuurdetails,Détails de la facture
Invoice number,Rechnungsnummer,Invoice number,Factuurnummer,Numéro de facture
Last name,Nachname,Last name,Achternaam,Nom de famille
Last update on,Letztes Update am,Last update on,Laatst aangepast op,Mise à jour le
Length badge image,Länge Abzeichen Bild,Length badge image,Lengte badgefoto,Longeur de la photo du badge
Live Games,Live Parteien,Live Games,Live partijen,Parties Live
Locale,Sprache,Locale,Taal,Langue
Lodging,Unterkunft,Lodging,Verblijf,Séjour
Lodging Allocation,Zuteilung Aufenthalt,Lodging Allocation,Toewijzing Verblijf,Allocation Séjour
Lookup ID number,ID-Nummer Suchen,Lookup ID number,Opzoeken stamnummer,Chercher matricule
Male,Männlich,Male,Mannelijk,Masculin
Mobile number,Handynummer,Mobile number,Mobiel nummer,Numéro mobile
Name,Name,Name,Naam,Nom
National id,ID-Nummer,National id,Nationale ID,Matricule
National rating,Belgische Elo,National rating,Nationale rating,Rating belge
Nationality,Staatsangehörigkeit,Nationality,Nationaliteit,Nationalité
Nationality FIDE,FIDE Staatsangehörigkeit,Nationality FIDE,NAtionaliteit FIDE,Nationalité FIDE
Nationality Passport,Staatsangehörigkeit,Nationality Passport,NAtionaliteit Paspoort,Nationalité
New subscription,Neue Einschreibung,New subscription,Nieuwe inschrijving,Nouvelle inscription
News,Nachrichten,News,Nieuws,Nouvelles
News items,Nachrichten,News items,Nieuwsberichten,Des nouvelles
Next entry,nächster Eintrag,Next entry,Volgend item,Message suivant
No,Nein,No,Nee,Non
No participant with this national ID,Kein Teilnehmer mit dieser nationalen ID,No participant with this national ID,Geen deelenermes met dit stamnummer,Pas de participant avec ce matricule
Not a valid mobile number,Keine gültige Handynummer,Not a valid mobile number,Ongeldig GSM-nummer,Numéro de mobile invalide
notassigned,Nicht zugeordnet,not assigned,niet toegewezen,non assigné
npo.,VoE.,npo.,vzw.,asbl.
One of the required fields is invalid.,Eines der erforderlichen Felder ist ungültig,One of the required fields is invalid.,Een van de verplichte velden is ongeldig,Un des champs requis
Optional information,Optionale Information,Optional information,Optionele informatie,Information facultative
Other player,Andere Spieler,Other player,Andere speler,Autre joueur
Our mission,Unsere Aufgabe,Our mission,Onze missie,Notre mission
Page,Seite,Page,Pagina,Page
Page not found,Seite nicht gefunden,Page not found,Pagina niet gevonden,Page non trouvée
Pairings,Paarungen,Pairings,Paringen,Appariements
Participants,Teilnehmer,Participants,Deelnemers,Participants
Pay the amount to account BE33 0017 5924 5146 of Bycco vzw. before the 25th of October with the structured message:,Zahlen Sie bitte den Betrag vor dem 25. Oktober  auf das Konto BE33 0017 5924 5146 von Bycco vzw. mit der strukturierten Nachricht:,Pay the amount to account BE33 0017 5924 5146 of Bycco vzw. before the 25th of October with the structured message: ,Betaal het bedrag vóór 25 oktober op rekening BE33 0017 5924 5146 van Bycco vzw. met de gestructureerde mededeling:,Veuillez payer le montant au compte BE33 0017 5924 5146 de Bycco vzw. avant le 25 octobre avec le message structuré:
Payment,Zahlung,Payment,Betaling,Paiement
Payment date,Zahlungsdatum,Payment date,Betalingsdatum,Date de paiement
Payment message,Zahlungsmitteilung,Payment message,Betalingsmededeling,Message de paiement
Person picking up the player after the game,"Person, die den Spieler nach dem Spiel abholt",Person picking up the player after the game,Persoon die de speler ophaalt na de partij,Personne qui vient chercher le joueur après lla partie
Photo,Foto,Photo,Foto,Photo
Player found:,Spieler gefunden:,Player found:,Speler gevonden:,
Please find attached the invoice for the subscription to the\nBelgian Youth championships 2020,Im Anhang finden Sie die Rechnung für die Anmeldung der Belgische Jugendmeisterschaften 2020,Please find attached the invoice for the subscription to the\nBelgian Youth championships 2020,In bijlage vind je de factuur voor de inschrijving van Belgisch jeugdkamoioenschap 2020\n,Veuillez trouver ci-joint la facture pour l'inscription au championnat de la jeunesse 2020 
Please provide your id number of the RBCF,Bitte geben Sie Ihre ID-Nummer beim KSB an.,Please provide your id number of the RBCF,Gelieve je stamnummer op te geven.,Veuillez fournir le matricule de la FRBE.
Please take into account that it takes a few days before a newly requested id number is available.,"Bitte beachten Sie, dass es einige Tage dauert bevor eine neu angeforderte ID-Nummer verfügbar ist.",Please take into account that it takes a few days before a newly requested id number is available.,Hou er rekening mee dat het enkele dagen duurt vooraleer een aangevraagd stamnummer beschikbaar wordt.,Veuillez tenir compte que ça prend quelques jours avant que le matricule\nsoit publié. 
Previous entry,vorheriger Eintrag,Previous entry,Vorig item,Message précédant
Price VAT excluded,Preis Mehrwertsteuer ausgeschlossen,Price VAT excluded,Prijs excl. BTW,Prix TVA exclusif.
Price VAT included,Preis Mehrwertsteuer inbegriffen,Price VAT included,Prijs incl. BTW,Prix TVA inc.
Privacy rules,Datenschutzregeln,Privacy rules,Privacyregels,Confidentialité des données
Read more,Weiter lesen,Read more,Lees verder,En savoir plus
Register,Anmelden,Register,Inschrijven,S'inscrire
Registration successful,Registrierung erfolgreich,Registration successful,Registratie geslaagd,Enregistrement réussi
Remarks,Bemerkungen,Remarks,Opmerkingen,Remarques
Required information,Benötigte Informationen,Required information,Verplichte informatie,Information requise
Resulting photo,Ergebnisbild,Resulting photo,Resultaatfoto,La photo résultante
Round,Runde,Round,Ronde,Ronde
Rows per page,Zeilen pro Seite,Rijen per pagina,Rijen per pagina,Lignes per page
Select photo,Foto wählen,Select photo,Foto kiezen,Selectionner Photo
Standings,Rangliste,Standings,Klassement,Classement
Subcription for,Einschreibung für,Subscription for,Inschrijving voor,Inscription pour
SubId5,Betrag zu zahlen,Amount to pay,Te betalen bedrag,Montant à payer
SubIntro2,Ihre ID-Nummer beim KSB,Your id number of the Royal Belgian Chess Federation,Je stamnummer bij de KBSB,Le matricule de la FRBE
SubIntro3,Ein Foto für Ihr Abzeichen,A photo for your badge,Een foto voor je badge,Une photo pour le badge
SubIntro5,"Wenn Ihr Verein eine neue ID-Nummer angefordert hat, kann es einige Tage dauern bis diese verfügbar ist.","In case your club just requested a new id number, please take into account it can take a few days before the id number is published.",Hou er rekening mee dat het enkele dagen duurt vooraleer een pas aangevraagd stamnummer gepubliceerd is,Veuillez tenir compte il peut prendre quelques jours avant que le nouveau matricule soit publié 
SubNat10,In jedem Fall wird Bycco keine persönlichen Informationen an Dritte weitergeben.,In any case Bycco will not leak any personal information to third parties.,In geen geval zal Bycco persoonlijke data aan derden geven,En tout cas
SubNat6,Bycco wird das Profilbild für ein Badge und für die Identifikation auf der Website verwenden.,Bycco will use the profile picture for a badge and for identification on the website.,Bycco gebruikt jouw profielfoto voor een badge en voor de identificatie op de website.,Bycco utllise votre photo de profil pour le badge et pour l’identification sur le site web
SubPhoto1,"Wir brauchen ein Foto, um Ihr Turnierabzeichen herzustellen. Sie können ein Foto auswählen, indem Sie ein Foto auf den Fotobereich ziehen oder indem Sie auf den Fotobereich klicken",We need a photo to make your tournament badge. You need to select a photo by dragging a photo to the photo area or by either clicking the photo area and selecting a photo.,"We hebben een foto nodig voor de toernooibadge. Je kiest jouw foto door ofwel een foto te slepen naar het opgegeven sleepgebied, ofwel door in het sleepgebied te klikken",Nous avons besoin d’une photo pour le badge du tournoi. Vous sélectionnez une photo en faisant glisser et déposer une photo dans la zone de photo ou en cliquant sur la zone de photo.
SubPhoto2,Fotobereich. Lassen Sie Ihr Foto hier fallen oder klicken Sie hier,Photo area . Drop your photo here or click to select a photo,Sleepgebied. Sleep je foto naar hier of klik hier,Zone de photo. Faites glisser et déposer la photo ici ou cliquez ici.
SubPhoto3,"Sobald das Foto ausgewählt ist, können Sie die Griffe mit der Maus bewegen, um das Foto anzupassen. Stellen Sie bitte sicher, dass das Gesicht des Spielers das resultierende Bild füllt. Klicken Sie auf Weiter, wenn das resultierende Bild korrekt angezeigt wird.","Once the photo is selected, you can move the selector handles with your mouse in order to adjust the photo. Please make sure that the face of player fills the resulting image. When the resulting image seems OK, click continue.","Eenmaal de foto gekozen, kan je de hendels met de muis verplaatsen om de foto aan te passen. Zorg ervoor dat het gezicht voldoende groot zichtbaar. Wanneer de bewerkte foto OK is, klik op verder",Une fois la photo sélectionnée
Subscribe,Einschreiben,Subscribe,Inschrijven,S'incscrire
Subscription,Einschreibung,Subscription,Inschrijving,Enregistrement
The arbiters,Die Schiedsrichter,The arbiters,De scheidrechters,Les arbitres
The id number could not be found.,Die ID-Nummer konnte nicht gefunden werden.,The id number could not be found.,Het stamnummer werd niet gevonden.,Le matricule n’est pas trouvé.
The id number is not belonging to a youth player,Diese ID-Nummer gehört nicht zu einem Jugendspieler,The id number is not belonging to a youth player,Dit stamnummer is niet van een jeugdspeler.,Ce matricule n’appartient pas à un jeune.
"The information requested below, is optional but it is highly recommended to provide it","Die unten angeforderten Informationen sind optional, aber es wird empfohlen, sie zur Verfügung zu stellen.","The information requested below, is optional but it is highly recommended to provide it","De informatie hieronder is optioneel, maar het is aangeraden om die toch te geven.",Les informations demandées ci-dessous sont facultatives mais il est vivement recommandé de les fournir.
The organizers,Die Organisatoren,The organizers\n,De organisatoren,Les organisateurs
The registration fee is 35 Euro.,Die Anmeldegebühr beträgt 35 Euro.,The registration fee is 35 Euro.,Het inschrijvingsgeld bedraagt ​​35 euro.,Le droit d'inscription est de 35 euros.
The team,Das Team,The team,Het team,L' équipe
This player is already registered,Dieser Spieler ist bereits registriert,This player is already registered,Deze speler is reeds geregistreerd,Ce joueur est déjà enregistré
This player is already registered.,Dieser Spieler ist bereits registriert.,This player is already registered.,Deze speler is al geregistreerd.,Ce joueur est déjà enregistré.
To,An,To,Naar,A
To be confirmed,Zu bestätigen,To be confirmed,Te bevestigen,A confirmer
Tournament,Turnier,Tournament,Toernooi,Tournoi
Tournament Results,Turnierergebnisse,Tournament Results,Toernooiresultaten,Résultats du tournoi
Tournament Rules,Turnierregeln,Tournament Rules ,Toernooireglement,Règlement du Tournoi
Tournament Subscriptions,Turniereinschreibungen,Tournament Subscriptions,Toernooiinschrijvingen,Enregistrements aux championnats
UnknownError,"Ein unbekannter Fehler ist aufgetreten. Bitte versuche es erneut. Falls der Fehler weiterhin besteht, wenden Sie sich bitte an die Organisatoren","An unknown error occured. Please try again. If the error persists, please contact the organizers","Een onbekende fout is opgetreden. Probeer opnieuw. Indien deze fout aanhoudt, gelieve de organisatie te contacteren.",Une erreur inconnue s’est produite. Veuillez réessayer. Si l’erreur persiste
Used rating,Verwendetes Elo,Used rating,Gebruikte rating,Rating utilisé
VAT,MwSt.,VAT,BTW,TVA
VAT number,MwSt-Nummer,VAT number,BTW number,Numéro de TVA
was not found.,werde nicht gefunden,was not found,kont niet gevonden worden,n'est pas trouvée
white,Weiss,white,wit,Blancs
Yes,Ja,Yes,Ja,Oui
"You are not affiliated to the FIDE. Unless you <a href=mailto:info@bycco.be>contact us</a> before the 15th of March and instruct us to explicitely do otherwise, we will affiliate you as a Belgian to the FIDE, so you can win the Belgian title and you can participate to the European and World Championships as part of the Belgian team.","Sie sind nicht an die FIDE angeschlossen. Sofern Sie sich nicht <a href=“mailto:info@bycco.be”>mit uns in Verbindung</a> setzen vor dem 15. März und uns ausdrücklich anders unterrichten, werden wir Sie als Belgier an die FIDE anschließen, damit Sie den belgischen Titel gewinnen können und an der EM / WM teilnehmen können.","You are not affiliated to the FIDE. Unless you <a href=mailto:info@bycco.be>contact us</a> before the 15th of March and instruct us to explicitely do otherwise, we will affiliate you as a Belgian to the FIDE, so you can win the Belgian title and you can participate to the European and World Championships as part of the Belgian team.","Je hebt niet aangesloten bij de FIDE. Tenzij je <a href=‘mailto:info@bycco.be’>ons contacteert</a> voor de 15e maart en expliciet opdraagt om anders te doen, zullen we jou bij de FIDE aansluiten als Belg. Zo kan je Belgisch kampioen worden en deelnemen aan het EK / WK in het Belgische team",Vous n’êtes pas affilié à la FIDE. Sauf si vous <a href=“mailto:info@bycco.be”>nous contactiez</a> avant le 15 mars et que vous nous instruisiez explicitement à faire autrement
You give Bycco the right to use the personal data collected in this subscription form.,"Sie geben Bycco das Recht, die gesammelten personenbezogenen Daten des Anmeldeformulars zu verwenden.",You give Bycco the right to use the personal data collected in this subscription form.,Je geeft Bycco het recht om jouw persoonlijke data te gebruiken verzameld via inschrijvingsformulier. ,Vous donnez à Bycco le droit d’utiliser les données collectionnées par ce formulaire d’inscription.
You need 2 items in order to subscribe to the Belgian Chess Championships:,Sie benötigen 2 Dinge für die Einschreibung zur Belgischen Jugend-Schachmeisterschaft: ,You need 2 items in order to subscribe to the Belgian Chess Championships:,Je hebt 2 zaken nodig om te schrijven voor het Belgisch jeugdkampioenschap,Vous avez besoin de 2 choses pour l’enregistrement aux championnats belges
You need your id number of the Royal Belgian Chess Federation in order to subscribe to the Belgian Chess Championships.,Sie benötigen Ihre ID-Nummer beim KSB für die Einschreibung zur Belgischen Jugend-Schachmeisterschaft.,You need your id number of the Royal Belgian Chess Federation in order to subscribe to the Belgian Chess Championships.,Je hebt je stamnummer bij de KBSB nodig om te schrijven voor het Belgisch jeugdkampioenschap.,Vous avez besoin du matricule de la FRBE pour l’enregistrement aux championnats belges.
Your subscription is confirmed,Ihr Einschreibung ist bestätigt,Your subscription is confirmed,Jouw inschrijving is bevestigd,Votre inscription est confirmée. 
